team1,team2,toss_winner,toss_decision,venue,winner
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Unknown
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Brabourne Stadium,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Eden Gardens,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Sawai Mansingh Stadium,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Deccan Chargers
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Kings XI Punjab
